sample_id,P,regime,next_pos
0040d067d5a7,132.45496020693952,none,1616.1500774551798
004cb511ce91,104.7178639041616,weak,1602.381046288666
004fd651e0b7,96.3533717337614,strong,1666.4092295267867
007784d1ba26,78.29576359269758,none,1672.8657326330974
00be9dcf8777,101.74859352736836,none,1650.8244104788569
00d9addcc5f2,96.20551786835313,weak,1681.0051560944794
00edc1ba1a1b,108.08150199031046,weak,1617.2947930612563
00f32c11cbd3,132.5188658235401,strong,1697.608233906171
0115885c4ab8,125.830614681728,weak,1627.9492563567408
0134b488e00d,117.73834320360211,strong,1660.2875480264654
0161d5437932,104.85601604004373,strong,1599.1143232476888
01abf6a0d9d8,136.83658177777826,weak,1646.1072621658016
01c162284de3,104.16662290081187,weak,1649.51040847507
01c87bfaca3a,91.42249222257864,none,1638.198267493484
02197f9795ea,116.58851163230806,none,1669.913751546252
0251adfb31e0,129.06107522267382,weak,1673.5719900645254
02a046403b9a,84.97212790593714,weak,1612.2804222082189
02a62ed138fe,105.33753368218716,weak,1683.4132755285273
02c29eab1d5f,76.53055342815094,weak,1630.465861599001
02c99aad2d03,100.23482084415224,weak,1695.2597452243465
02d65560f1b1,103.68936588269771,strong,1612.5056647011247
02e032ade596,111.2770650352232,none,1612.1716946260394
02f7d51751ec,116.71884383597958,none,1676.2037693461868
02fa52823ad7,94.2959065517898,strong,1604.8511308375175
032b52c9030e,77.2149769130187,none,1640.2690527562745
034cdf121d0e,117.30248382244486,none,1637.6950936785247
035052de62d4,118.383036277461,strong,1669.2557802320143
03533c11af77,80.91671238663737,weak,1602.878431496639
035dbc234caa,81.03369358665813,weak,1647.6291203667422
035f19c702c6,97.05722049901344,strong,1612.6322387241737
037d14ad25ed,81.28576610556347,none,1602.3685986463774
0384df647927,89.38054077532065,weak,1640.781508808988
039754f97c60,105.57301902357432,weak,1635.079024992751
03aca8b7b5bd,83.9715420002756,strong,1618.8561369337242
03c8483aeb60,94.5292872050949,strong,1673.5234520244785
03df3ffd3c03,79.41845214960347,strong,1617.4973588499313
043d7c70b8d5,113.65451658173812,none,1691.4052575178916
046a8f21e0fa,115.092823475889,strong,1600.649184591964
047505df8d18,122.74694385783567,strong,1687.1928635509591
0482d121612a,87.85439085743423,strong,1643.8817966531824
04b523620436,128.3769656044466,weak,1636.1963652650538
04c6aeca3cea,108.76544408924406,weak,1623.2189846660278
04ca8ae4941e,132.76545493604164,none,1721.1729979056431
04cf31bafa54,82.2342924280163,strong,1684.1064564375802
04cfbe91a3f3,100.44977337261793,strong,1611.989315028761
04dec69c66d7,115.3174066300106,weak,1702.7631925295025
04f7cafa04b0,113.06395494975456,strong,1707.7377567536878
04f822021b7d,125.82974397490516,weak,1600.5539069504546
05109951fb2a,87.5121498481481,none,1663.3646815651866
0558f35af9a5,104.35874292121828,strong,1673.7704566272264
057ef1c388b8,136.42461064499955,weak,1627.7698576929963
05ab64653e78,130.47703947629583,none,1694.960755332378
05ba180411d6,93.46260579686697,weak,1677.8301381309257
05bdf8e03400,126.04062617541628,none,1637.753666414617
05c74ad41bb0,110.42148100647036,none,1616.5236833790964
05db63a5880c,126.81654366772398,strong,1609.8019752553662
05faa230858f,81.90320434838617,weak,1666.3606218716916
064a63481b87,96.46368481446716,strong,1637.6467213809365
0651946a6b2b,125.19338406116262,none,1715.2822987317645
065514517c25,118.01411388890487,none,1674.5149898257152
0685a1522e16,134.17515423203403,strong,1655.966628364248
06d776327f72,107.75338942570872,strong,1603.4979629170566
06d8bc9060ab,113.69065109140234,strong,1709.5947038708612
06f018aaf44e,75.92762732949969,none,1635.3626880982213
076bdf262160,121.0018504432359,none,1629.188841166182
0770bdb30d1e,89.11766501000196,none,1654.652377444273
07b001ed99a3,79.24547182476104,none,1644.1769618526212
07ca4a1c59d6,81.17118656874553,strong,1647.3189679253542
07cceef0ed75,104.36762048495297,weak,1702.487191956851
